https://tudatalib.ulb.tu-darmstadt.de/handle/tudatalib/2478

Quelle	Autor	Titel	Jahr	Journal	Typ	DOI	Gelesen?	Empirisch?	Ausschlusspunkt	Ausschlussgrund	Kommentar	Feld	Thema	HMD	Interaction device	No Participants	Low Abstraction	Medium	High	Exactly like RE	Similar to RE	Different to RE	Training	No Training	Walking	Balance	Navigation / Orientation	Searching / Identifying	Reaching	Picking / Manual object interaction	Cognitive / Memory tasks	Spatial Perception	Quantitative	Qualitative	Experiment	Secondary research 	Subjective feedback	Consistent	Better	Worse
WOS	"Kim, Jungho; Kumar, Yadav Sunil; Yoo, Jisang; Kwon, Soonchul"	Change of Blink Rate in Viewing Virtual Reality with HMD	2018	SYMMETRY-BASEL		10.3390/sym10090400	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		Medizin	Measurement of body functions																											
WOS	"Halik, Lukasz; Smaczynski, Maciej"	Geovisualisation of Relief in a Virtual Reality System on the Basis of Low-Level Aerial Imagery	2018	PURE AND APPLIED GEOPHYSICS		10.1007/s00024-017-1755-z	Görge	Nein	Abstract	nur Technik		Softwareentwicklung	Visualisation																											
WOS	"Henshall, Gareth I.; Teahan, William J.; Ap Cenydd, Llyr"	Virtual reality's effect on parameter optimisation for crowd-sourced procedural animation	2018	VISUAL COMPUTER		10.1007/s00371-018-1501-2	Görge	Ja	Abstract	nur Technik		Softwareentwicklung	Software development																											
WOS	"Grubert, Jens; Itoh, Yuta; Moser, Kenneth; Swan, J. Edward, II"	A Survey of Calibration Methods for Optical See-Through Head-Mounted Displays	2018	IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS		10.1109/TVCG.2017.2754257	Görge	Ja	Titel	kein VR																														
WOS	"Sportillo, Daniele; Paljic, Alexis; Ojeda, Luciano"	Get ready for automated driving using Virtual Reality	2018	ACCIDENT ANALYSIS AND PREVENTION		10.1016/j.aap.2018.06.003	Görge	Ja	Sample		evtl. interessant: Training von Fahren	Manufacturing	Training	HTC Vive	Racing wheel	60		x		x			x				x		x		x	x	x	x	x				x	
WOS	"Mihajlovic, Zeljka; Popovic, Sinisa; Brkic, Karla; Cosic, Kresimir"	A system for head-neck rehabilitation exercises based on serious gaming and virtual reality	2018	MULTIMEDIA TOOLS AND APPLICATIONS		10.1007/s11042-017-5328-z	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		Medizin	Rehabilitation	Oculus Rift																										
WOS	"Agethen, Philipp; Sekar, Viswa Subramanian; Gaisbauer, Felix; Pfeiffer, Thies; Otto, Michael; Rukzio, Enrico"	Behavior Analysis of Human Locomotion in the Real World and Virtual Reality for the Manufacturing Industry	2018	ACM TRANSACTIONS ON APPLIED PERCEPTION		10.1145/3230648	Görge	Ja	Sample		Human walking and obstacle avoidance	Manufacturing	Movement / Navigation	HTC Vive	HTC Vive tracking system	30		x		x				x	x								x		x			x		x
WOS	"Cecil, J.; Gupta, Avinash; Pirela-Cruz, M.; Ramanthan, Parmesh"	A Network-Based Virtual Reality Simulation Training Approach for Orthopedic Surgery	2018	ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS		10.1145/3232678	Görge	Ja	Abstract	kein Vergleich zu realer Anwendung		Medizin	Training	HTC Vive																										
WOS	"Dietrichkeit, Mona; Flint, Kristina; Krieger, Eva; Grzella, Karsten; Nagel, Matthias; Moritz, Steffen"	Two case studies from a virtual reality intervention for delusions: feasibility and preliminary evidence	2018	COGNITIVE BEHAVIOUR THERAPIST		10.1017/S1754470X18000090	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		Psychology	Rehabilitation																											
WOS	"Roettl, Johanna; Terlutter, Ralf"	The same video game in 2D, 3D or virtual reality - How does technology impact game evaluation and brand placements?	2018	PLOS ONE		10.1371/journal.pone.0200724	Görge	Ja	Abstract	kein Vergleich zu realer Anwendung		Hardwareentwicklung und Evaluation	Perception of prodcuts																											
WOS	"Huai Yongjian; Zhang Han; Zhang Shuai"	Research and Implementation on Flower Plants Rendering Technology Based on Physical Light Simulation for VR Application	2018	JOURNAL OF ELECTRONICS & INFORMATION TECHNOLOGY		10.11999/JEIT170995	Görge		Titel	kein Zugriff																														
WOS	"Zhai, Xiaojun; Eslami, Mohammad; Hussein, Ealaf Sayed; Filali, Maroua Salem; Shalaby, Salma Tarek; Amira, Abbes; Bensaali, Faycal; Dakua, Sarada; Abinahed, Julien; Al-Ansari, Abdulla; Ahmed, Ayman Z."	Real-time automated image segmentation technique for cerebral aneurysm on reconfigurable system-on-chip	2018	JOURNAL OF COMPUTATIONAL SCIENCE		10.1016/j.jocs.2018.05.002	Görge	Ja	Abstract	nur Technik		Medizin	Visualisation																											
WOS	"Alfaro, Luis; Linares, Ricardo; Herrera, Jose"	Scientific Articles Exploration System Model based in Immersive Virtual Reality and Natural Language Processing Techniques	2018	INTERNATIONAL JOURNAL OF ADVANCED COMPUTER SCIENCE AND APPLICATIONS		0	Görge		Titel	kein Zugriff																														
WOS	"Grudzewski, Filip; Awdziej, Marcin; Mazurek, Grzegorz; Piotrowska, Katarzyna"	Virtual reality in marketing communication - the impact on the message, technology and offer perception - empirical study	2018	ECONOMICS AND BUSINESS REVIEW		10.18559/ebr.2018.3.4	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		Retail / Marketing	Perception of prodcuts	Oculus Rift																										
WOS	"Kolivand, Hoshang; El Rhalibi, Abdennour; Sunar, Mohd Shahrizal; Saba, Tanzila"	ReVitAge: Realistic virtual heritage taking shadows and sky illumination into account	2018	JOURNAL OF CULTURAL HERITAGE		10.1016/j.culher.2018.01.020	Görge	Nein	Abstract	kein VR		Archäologie / Museen	Model design																											
WOS	"Thies, Justus; Zollhofer, Michael; Stamminger, Marc; Theobalt, Christian; Niessner, Matthias"	FaceVR: Real-Time Gaze-Aware Facial Reenactment in Virtual Reality	2018	ACM TRANSACTIONS ON GRAPHICS		10.1145/3182644	Görge	Nein	Abstract	nur Technik		Softwareentwicklung	Measurement of body functions																											
WOS	"Porras-Garcia, Bruno; Ghita, Alexandra; Moreno, Manuel; Ferrer-Garcia, Marta; Bertomeu-Panisello, Paola; Serrano-Troncoso, Eduardo; Riva, Giuseppe; Dakanalis, Antonios; Achotegui-Loizate, Jose; Talarn-Caparros, Antoni; Andreu-Gracia, Alexis; Treasure, Janet; Martinez-Mallen, Esteve; Moreno-Perez, Elena; Gutierrez-Maldonado, Jose"	Gender differences in attentional bias after owning a virtual avatar with increased weight	2018	ANNUAL REVIEW OF CYBERTHERAPY AND TELEMEDICINE		0	Görge		Titel	kein Zugriff																														
WOS	"Draelos, Mark; Keller, Brenton; Viehland, Christian; Carrasco-Zevallos, Oscar M.; Kuo, Anthony; Izatt, Joseph"	Real-time visualization and interaction with static and live optical coherence tomography volumes in immersive virtual reality	2018	BIOMEDICAL OPTICS EXPRESS		10.1364/BOE.9.002825	Görge	Nein	Abstract	nur Technik		Medizin	Visualisation	HTC Vive																										
WOS	"Kim, Mugeon; Lim, Sungjin; Choi, Geunseop; Kim, Youngmin; Kim, Hwi; Hahn, Joonku"	Expanded Exit-Pupil Holographic Head-Mounted Display With High-Speed Digital Micromirror Device	2018	ETRI JOURNAL		10.4218/etrij.2017-0166	Görge	Nein	Abstract	nur Technik		Hardwareentwicklung und Evaluation	Hardware development																											
WOS	"Abdullah, Maria; Shaikh, Zubair Ahmed"	An Effective Virtual Reality based Remedy for Acrophobia	2018	INTERNATIONAL JOURNAL OF ADVANCED COMPUTER SCIENCE AND APPLICATIONS		0	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		Psychology	Rehabilitation / Treatment																											
WOS	"Jarsaillon, Pierre J.; Sakamoto, Naohisa; Kageyama, Akira"	Flexible visualization framework for head-mounted display with gesture interaction interface	2018	INTERNATIONAL JOURNAL OF MODELING SIMULATION AND SCIENTIFIC COMPUTING		10.1142/S1793962318400020	Görge	Ja	Abstract	nur Technik		Softwareentwicklung	Visualisation	Oculus Rift																										
WOS	"Jung, Su-min; Wang, Dong-Yue; Whangbo, Taeg-keun"	System for Evaluating Elements of VR Content that Cause Motion Sickness	2018	INTERNATIONAL JOURNAL OF GRID AND DISTRIBUTED COMPUTING		10.14257/ijgdc.2018.11.6.09	Görge	Nein	Volltext	nur Technik		Softwareentwicklung	Cybersickness / Fatigue																											
WOS	"Ratamero, Erick Martins; Bellini, Dom; Dowson, Christopher G.; Romer, Rudolf A."	Touching proteins with virtual bare hands	2018	JOURNAL OF COMPUTER-AIDED MOLECULAR DESIGN		10.1007/s10822-018-0123-0	Görge	Nein	Abstract	nur Technik		Softwareentwicklung	Visualisation																											
WOS	"Tham, Jason; Duin, Ann Hill; Gee, Laura; Ernst, Nathan; Abdelqader, Bilal; McGrath, Megan"	Understanding Virtual Reality: Presence, Embodiment, and Professional Practice	2018	IEEE TRANSACTIONS ON PROFESSIONAL COMMUNICATION		10.1109/TPC.2018.2804238	Görge	Ja	Abstract	Review		VR Allgemein	Image of VR / Use of VR																											
WOS	"Zhang, Yingxue; Wang, Yingbin; Liu, Feiyang; Liu, Zizheng; Li, Yiming; Yang, Daiqin; Chen, Zhenzhong"	Subjective Panoramic Video Quality Assessment Database for Coding Applications	2018	IEEE TRANSACTIONS ON BROADCASTING		10.1109/TBC.2018.2811627	Görge	Ja	Abstract	nur Technik		Softwareentwicklung	Visual perception																											
WOS	"Palmisano, Stephen; Riecke, Bernhard E."	The search for instantaneous vection: An oscillating visual prime reduces vection onset latency	2018	PLOS ONE		10.1371/journal.pone.0195886	Görge	Ja	Abstract	kein Vergleich zu realer Anwendung		Softwareentwicklung	Movement / Navigation																											
WOS	"Cowie, Dorothy; McKenna, Aisling; Bremner, Andrew J.; Aspell, Jane E."	The development of bodily self-consciousness: changing responses to the Full Body Illusion in childhood	2018	DEVELOPMENTAL SCIENCE		10.1111/desc.12557	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		Psychology	Body Illusion																											
WOS	"Pulijala, Yeshwanth; Ma, Minhua; Pears, Matthew; Peebles, David; Ayoub, Ashraf"	Effectiveness of Immersive Virtual Reality in Surgical Training-A Randomized Control Trial	2018	JOURNAL OF ORAL AND MAXILLOFACIAL SURGERY		10.1016/j.joms.2017.10.002	Görge	Ja	Sample		Self-confidence levels after surgical training in VR compared to text-based surgical training	Medizin	Training	Oculus Rift	Leap motion	91		x			x		x							x	x			x			x		x	
WOS	"Jung, Jinki; Ahn, Young Joong"	Effects of interface on procedural skill transfer in virtual training: Lifeboat launching operation study	2018	COMPUTER ANIMATION AND VIRTUAL WORLDS		10.1002/cav.1812	Görge	Ja	Sample		Training of manual lifeboat operation	Ingenieurwesen / Physik	Training	Oculus Rift DK2	Keyboard & Joypad, Leap motion controller & Myo armbands	64	x			x			x					x	x		x		x		x				x	
WOS	"Monteiro, Diego; Liang, Hai-Ning; Xu, Wenge; Brucker, Marvin; Nanjappan, Vijayakumar; Yue, Yong"	Evaluating enjoyment, presence, and emulator sickness in VR games based on first- and third- person viewing perspectives	2018	COMPUTER ANIMATION AND VIRTUAL WORLDS		10.1002/cav.1830	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		Hardwareentwicklung und Evaluation	Evaluation of VR systems																											
WOS	"Melo, Miguel; Vasconcelos-Raposo, Jose; Bessa, Maximino"	Presence and cybersickness in immersive content: Effects of content type, exposure time and gender	2018	COMPUTERS & GRAPHICS-UK		10.1016/j.cag.2017.11.007	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		Psychology	Presence																											
WOS	"Ghosh, Sarthak; Winston, Lauren; Panchal, Nishant; Kimura-Thollander, Philippe; Hotnog, Jeff; Cheong, Douglas; Reyes, Gabriel; Abowd, Gregory D."	NotifiVR: Exploring Interruptions and Notifications in Virtual Reality	2018	IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS		10.1109/TVCG.2018.2793698	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		Softwareentwicklung	Effect of Immersion																											
WOS	"Waltemate, Thomas; Gall, Dominik; Roth, Daniel; Botsch, Mario; Latoschik, Marc Erich"	The Impact of Avatar Personalization and Immersion on Virtual Body Ownership, Presence, and Emotional Response	2018	IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS		10.1109/TVCG.2018.2794629	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		Psychology	Body Illusion																											
WOS	"Park, Taiwoo; Zhang, Mi; Lee, Youngki"	WHEN MIXED REALITY MEETS INTERNET OF THINGS: Toward the Realization of Ubiquitous Mixed Reality	2018	MOBILE COMPUTING AND COMMUNICATIONS REVIEW		10.1145/3229316.3229320	Görge	Ja	Abstract	kein VR		VR Allgemein	Image of VR / Use of VR																											
WOS	"Zhang, Meng-Jia; Zhang, Kang; Li, Jie; Li, Yi-Na"	Visual Exploration of 3D Geospatial Networks in a Virtual Reality Environment	2018	COMPUTER JOURNAL		10.1093/comjnl/bxx117	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		Softwareentwicklung	Visualisation	Ocuslus Rift																										
WOS	"Fabroyir, Hadziq; Teng, Wei-Chung"	Navigation in virtual environments using head-mounted displays: Allocentric vs. egocentric behaviors	2018	COMPUTERS IN HUMAN BEHAVIOR		10.1016/j.chb.2017.11.033	Görge	Ja	Abstract	kein Vergleich zu realer Anwendung		Hardwareentwicklung und Evaluation	Movement / Navigation																											
WOS	"Li, Dan; Xiao, B. J.; Xia, J. Y.; Wang, K. R."	Preliminary realization of immersive EAST system using virtual reality	2018	FUSION ENGINEERING AND DESIGN		10.1016/j.fusengdes.2018.02.031	Görge	Nein	Abstract	nur Technik		Ingenieurwesen / Physik	Model design	HTC Vive																										
WOS	"Vosinakis, Spyros; Koutsabasis, Panayiotis"	Evaluation of visual feedback techniques for virtual grasping with bare hands using Leap Motion and Oculus Rift	2018	VIRTUAL REALITY		10.1007/s10055-017-0313-4	Görge	Ja	Volltext	kein Vergleich zu realer Anwendung	evtl. interessant: Evaluation Greifen	Hardwareentwicklung und Evaluation	Haptics / Physical interaction	Oculus Rift	Leao motion controller	32																								
WOS	"Seibert, Jonmichael; Shafer, Daniel M."	Control mapping in virtual reality: effects on spatial presence and controller naturalness	2018	VIRTUAL REALITY		10.1007/s10055-017-0316-1	Görge	Ja	Abstract	kein Vergleich zu realer Anwendung		Hardwareentwicklung und Evaluation	Presence																											
WOS	"Proffitt, Rachel; Warren, Jessica; Lange, Belinda; Chang, Chien-Yen"	SAFETY AND FEASIBILITY OF A FIRST-PERSON VIEW, FULL-BODY INTERACTION GAME FOR TELEREHABILITATION POST-STROKE	2018	INTERNATIONAL JOURNAL OF TELEREHABILITATION		10.5195/ijt.2018.6250	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		Medizin	Rehabilitation / Treatment	Oculus Rift																										
WOS	"Carmen Juan, M. -; Garcia-Garcia, Inmaculada; Molla, Ramon; Lopez, Richard"	Users' Perceptions Using Low-End and High-End Mobile-Rendered HMDs: A Comparative Study	2018	COMPUTERS		10.3390/computers7010015	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		Hardwareentwicklung und Evaluation	Evaluation of VR systems																											
WOS	"Johnston, Angus P. R.; Rae, James; Ariotti, Nicholas; Bailey, Benjamin; Lilja, Andrew; Webb, Robyn; Ferguson, Charles; Maher, Sheryl; Davis, Thomas P.; Webb, Richard I.; McGhee, John; Parton, Robert G."	Journey to the centre of the cell: Virtual reality immersion into scientific data	2018	TRAFFIC		10.1111/tra.12538	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		Biologie / Chemie	Visualisation																											
WOS	"Lee, Sang Hwa; Nam, SangHun; Kim, JungYoon"	Analysis of a Quality Evaluation Model for VR Contents	2018	INTERNATIONAL JOURNAL OF GRID AND DISTRIBUTED COMPUTING		10.14257/ijgdc.2018.11.2.09	Görge	Nein	Abstract	nur Technik		VR Allgemein	Cybersickness / Fatigue																											
WOS	"Gadia, Davide; Granato, Marco; Maggiorini, Dario; Ripamonti, Laura Anna; Vismara, Cinzia"	Consumer-oriented Head Mounted Displays: Analysis and Evaluation of Stereoscopic Characteristics and User Preferences	2018	MOBILE NETWORKS & APPLICATIONS		10.1007/s11036-017-0834-9	Görge	Nein	Abstract	nur Technik		Hardwareentwicklung und Evaluation	Evaluation of VR systems																											
WOS	"Huber, Tobias; Wunderling, Tom; Paschold, Markus; Lang, Hauke; Kneist, Werner; Hansen, Christian"	Highly immersive virtual reality laparoscopy simulation: development and future aspects	2018	INTERNATIONAL JOURNAL OF COMPUTER ASSISTED RADIOLOGY AND SURGERY		10.1007/s11548-017-1686-2	Görge	Ja	Abstract	nur Technik		Medizin	Model design																											
WOS	"Buttussi, Fabio; Chittaro, Luca"	Effects of Different Types of Virtual Reality Display on Presence and Learning in a Safety Training Scenario	2018	IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS		10.1109/TVCG.2017.2653117	Görge	Ja	Abstract	kein Vergleich zu realer Anwendung		Hardwareentwicklung und Evaluation	Evaluation of VR systems																											
WOS	"Soomro, Shoaib R.; Urey, Hakan"	Integrated 3D display and imaging using dual purpose passive screen and head-mounted projectors and camera	2018	OPTICS EXPRESS		10.1364/OE.26.001161	Görge	Nein	Abstract	nur Technik		Hardwareentwicklung und Evaluation	Hardware development																											
WOS	"Kot, Tomas; Novak, Petr"	Application of virtual reality in teleoperation of the military mobile robotic system TAROS	2018	INTERNATIONAL JOURNAL OF ADVANCED ROBOTIC SYSTEMS		10.1177/1729881417751545	Görge	Nein	Abstract	nur Technik		Hardwareentwicklung und Evaluation	Remote Control / Digital Twin	Oculus Rift																										
WOS	"Wang Ze-wei; Yu You-guang; Yang Fu-zheng"	Panoramic video display quality assessment based on HTC Vive	2018	CHINESE JOURNAL OF LIQUID CRYSTALS AND DISPLAYS		10.3788/YJYXS20183301.0085	Görge		Titel	nicht Englisch																														
WOS	"Borrego, Adrian; Latorre, Jorge; Alcaniz, Mariano; Llorens, Roberto"	Comparison of Oculus Rift and HTC Vive: Feasibility for Virtual Reality-Based Exploration, Navigation, Exergaming, and Rehabilitation	2018	GAMES FOR HEALTH JOURNAL		10.1089/g4h.2017.0114	Görge	Ja	Volltext	nur Technik	evtl. Evaluation der HTC Vive	Hardwareentwicklung und Evaluation	Evaluation of VR systems	HTC Vive & Oculus Rift																										
WOS	"Huang, Xianwei; Naghdy, Fazel; Du, Haiping; Naghdy, Golshah; Murray, Geoffrey"	Design of adaptive control and virtual reality-based fine hand motion rehabilitation system and its effects in subacute stroke patients	2018	COMPUTER METHODS IN BIOMECHANICS AND BIOMEDICAL ENGINEERING-IMAGING AND VISUALIZATION		10.1080/21681163.2017.1343687	Görge	Ja	Sample		evtl. Training von Hand Motion	Medizin	Rehabilitation / Treatment	Oculus Rift DK2	Rehabilitation roboter	8		x				x	x							x			x			x			x	
WOS	"Wu, Dai-Yun; Lin, Jih-Hsuan Tammy"	Ways of Seeing Matter: The Impact of a Naturally Mapped Perceptual System on the Persuasive Effects of Immersive Virtual Reality Advertising	2018	COMMUNICATION RESEARCH REPORTS		10.1080/08824096.2018.1525349	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		Retail / Marketing	Perception of prodcuts / Advertisement																											
WOS	"Lubetzky, Anat, V; Hujsak, Bryan D."	A virtual reality head stability test for patients with vestibular dysfunction	2018	JOURNAL OF VESTIBULAR RESEARCH-EQUILIBRIUM & ORIENTATION		10.3233/VES-190650	Görge	Ja	Abstract	kein Vergleich zu realer Anwendung		Medizin	Rehabilitation / Treatment	Oculus Rift																										
WOS	"Pirker, Johanna; Lesjak, Isabel; Parger, Mathias; Guetl, Christian"	An Educational Physics Laboratory in Mobile Versus Room Scale Virtual Reality - A Comparative Study	2017	ONLINE ENGINEERING & INTERNET OF THINGS		10.3991/ijoe.v13i08.7371	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		Hardwareentwicklung und Evaluation	Evaluation of VR systems	Samsung GEAR & HTC Vive																										
WOS	Jurkojc, Jacek	Balance disturbances coefficient as a new value to assess ability to maintain balance on the basis of FFT curves	2018	ACTA OF BIOENGINEERING AND BIOMECHANICS		10.5277/ABB-01082-2018-02	Görge	Ja	Abstract	VR nur als Methode		Human Biology	Balance	Oculus Rift																										
WOS	Hahn, Jim F.	Virtual reality learning environments Development of multi-user reference support experiences	2018	INFORMATION AND LEARNING SCIENCE		10.1108/ILS-07-2018-0069	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		Softwareentwicklung	Collaboration	HTC Vive																										
WOS	"Czub, Marcin; Piskorz, Joanna"	Body Movement Reduces Pain Intensity in Virtual Reality-Based Analgesia	2018	INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION		10.1080/10447318.2017.1412144	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		Medizin	Perception of Pain / Discomfort	Oculus Rift																										
WOS	Lucas, Jason	IMMERSIVE VR IN THE CONSTRUCTION CLASSROOM TO INCREASE STUDENT UNDERSTANDING OF SEQUENCE, ASSEMBLY, AND SPACE OF WOOD FRAME CONSTRUCTION	2018	JOURNAL OF INFORMATION TECHNOLOGY IN CONSTRUCTION		0	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		Bauwesen / Architektur	Training																											
WOS	"Keiriz, Johnson J. G.; Zhan, Liang; Ajilore, Olusola; Leow, Alex D.; Forbes, Angus G."	NeuroCave: A web-based immersive visualization platform for exploring connectome datasets	2018	NETWORK NEUROSCIENCE		10.1162/netn_a_00044	Görge	Ja	Abstract	nur Technik		Softwareentwicklung	Visualisation																											
WOS	"Yu, Difeng; Liang, Hai-Ning; Lu, Feiyu; Nanjappan, Vijayakumar; Papangelis, Konstantinos; Wang, Wei"	Target Selection in Head-Mounted Display Virtual Reality Environments	2018	JOURNAL OF UNIVERSAL COMPUTER SCIENCE		0	Görge	Ja	Volltext	kein Vergleich zu realer Anwendung	evtl. Target Selection	Softwareentwicklung	Haptics / Physical interaction	Oculus Rift DK2 & HTC Vive	Keyboard & Leap motion capture & HTC Vive controller & XBOC 260 Controller & Computer mouse	39																								
WOS	"Zou, Wenjie; Yang, Fuzheng; Zhang, Wei; Li, Yi; Yu, Haoping"	A Framework for Assessing Spatial Presence of Omnidirectional Video on Virtual Reality Device	2018	IEEE ACCESS		10.1109/ACCESS.2018.2864872	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		VR Allgemein	Presence																											
WOS	"Louison, Cephise; Ferlay, Fabien; Mestre, Daniel R."	Spatialized Vibrotactile Feedback Improves Goal-Directed Movements in Cluttered Virtual Environments	2018	INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION		10.1080/10447318.2017.1411665	Görge	Ja	Volltext	kein Vergleich zu realer Anwendung	evtl. Verbesserung Greifbewegung in VR	Hardwareentwicklung und Evaluation	Haptics / Physical interaction	Oculus Rift DK2	CAVE Motion capture system	28																								
WOS	"Ren, Pu; Shui, Wuyang; Liu, Jin; Fan, Yachun; Zhao, Wenshuo; Zhou, Mingquan"	A SKETCH-BASED 3D MODELING METHOD FOR 3D CRIME SCENE PRESENTATION	2018	JOURNAL OF DIGITAL FORENSICS SECURITY AND LAW		0	Görge	Nein	Abstract	nur Technik		Softwareentwicklung	Visualisation																											
WOS	"Martinez Soto, Juan Manuel; Egea Vivancos, Alejandro; Arias Ferrer, Laura"	Assessment of a History educational video game. The student's opinion	2018	REVISTA LATINOAMERICANA DE TECNOLOGIA EDUCATIVA-RELATEC		10.17398/1695-288X.17.1.61	Görge		Titel	nicht Englisch																														
WOS	"Hoyano, Kengo; Ogoshi, Yasuhiro"	Effect of Social Facilitation without Presence of Others on Swallowing Function and Eating Behavior	2018	SENSORS AND MATERIALS		10.18494/SAM.2018.1912	Görge	Ja	Abstract	kein VR		Psychology	Presence																											
WOS	"Schmohl, S; Tutzauer, P; Haala, N"	Stuttgart City Walk: A Case Study on Visualizing Textured DSM Meshes for the General Public Using Virtual Reality	2020	PFG-JOURNAL OF PHOTOGRAMMETRY REMOTE SENSING AND GEOINFORMATION SCIENCE		10.1007/s41064-020-00106-z	Görge	Nein	Abstract	kein Bezug zu manueller Kommissionierung		Softwareentwicklung	Visualisation	HTC Vive																										
WOS	"Fairen, M; Moyes, J; Insa, E"	VR4Health: Personalized teaching and learning anatomy using VR	2020	JOURNAL OF MEDICAL SYSTEMS		10.1007/s10916-020-01550-5	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		Softwareentwicklung	Training																											
WOS	"Bhargava, A; Lucaites, KM; Hartman, LS; Solini, H; Bertrand, JW; Robb, AC; Pagano, CC; Babu, SV"	Revisiting affordance perception in contemporary virtual reality	2020	VIRTUAL REALITY		10.1007/s10055-020-00432-y	Görge	Ja	Sample		Judgement of space for passing through a yliding door in VR and in reality	Psychology	Visual perception	HTC Vive	HTC Vive controllers	35	x			x				x								x	x	x	x			x		x
WOS	"Lee, SH; Jung, HY; Yun, SJ; Oh, BM; Seo, HG"	Upper Extremity Rehabilitation Using Fully Immersive Virtual Reality Games With a Head Mount Display: A Feasibility Study	2020	PM&R		10.1002/pmrj.12206	Görge	Ja	Abstract	kein Vergleich zu realer Anwendung		Medizin	Rehabilitation / Treatment	HTC Vive																										
WOS	"Feldstein, IT; Dyszak, GN"	Road crossing decisions in real and virtual environments: A comparative study on simulator validity	2020	ACCIDENT ANALYSIS AND PREVENTION		10.1016/j.aap.2019.105356	Görge	Ja	Sample		Comparison of safe road crossing decissions	Psychology	Visual perception	Oculus Rift DK2	Vicon motion capture	30	x			x				x								x	x		x					x
WOS	"Lou, JW; Wang, YM; Nduka, C; Hamedi, M; Mavridou, I; Wang, FY; Yu, H"	Realistic Facial Expression Reconstruction for VR HMD Users	2020	IEEE TRANSACTIONS ON MULTIMEDIA		10.1109/TMM.2019.2933338	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		Softwareentwicklung	Measurement of body functions																											
WOS	"Fan, CL; Yen, SC; Huang, CY; Hsu, CH"	Optimizing Fixation Prediction Using Recurrent Neural Networks for 360 degrees Video Streaming in Head-Mounted Virtual Reality	2020	IEEE TRANSACTIONS ON MULTIMEDIA		10.1109/TMM.2019.2931807	Görge	Nein	Abstract	kein Bezug zu manueller Kommissionierung		Softwareentwicklung	Software development																											
WOS	"Almajid, R; Tucker, C; Wright, WG; Vasudevan, E; Keshner, E"	Visual dependence affects the motor behavior of older adults during the Timed Up and Go (TUG) test	2020	ARCHIVES OF GERONTOLOGY AND GERIATRICS		10.1016/j.archger.2019.104004	Görge	Ja	Volltext	kein VR	evtl. Vergleich Motor performance	Medizin	Rehabilitation / Treatment	Ocukus Rift DK2		28																								
WOS	"Clark, Logan D.; Bhagat, Aakash B.; Riggs, Sara L."	Extending Fitts' law in three-dimensional virtual environments with current low-cost virtual reality technology	2020	INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES		10.1016/j.ijhcs.2020.102413	Görge	Ja	Sample		Predicting pointing task times in VR and comparing them to real-world model results	Ergonomie	Haptics / Physical interaction	Oculus Rift CV1	Oculus Touch controller	23			x			x		x					x				x			x				x
WOS	"Esteves, Augusto; Shin, Yonghwan; Oakley, Ian"	Comparing selection mechanisms for gaze input techniques in head-mounted displays	2020	INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES		10.1016/j.ijhcs.2020.102414	Görge	Ja	Volltext	kein Vergleich zu realer Anwendung	ectl. Innput Methoden	Hardwareentwicklung und Evaluation	Control of VR / Human-Computer Interface	Google Pixel phone with Google Daydream VR	Keyboard, Mobile Phone, Leap Motion, Speech	38																								
