Titel,Autor,Jahr,Journal,Typ,DOI
users' perceptions using low-end and high-end mobile-rendered hmds: a comparative study,"carmen juan, m. -; garcia-garcia, inmaculada; molla, ramon; lopez, richard",2018,computers,,10.3390/computers7010015
journey to the centre of the cell: virtual reality immersion into scientific data,"johnston, angus p. r.; rae, james; ariotti, nicholas; bailey, benjamin; lilja, andrew; webb, robyn; ferguson, charles; maher, sheryl; davis, thomas p.; webb, richard i.; mcghee, john; parton, robert g.",2018,traffic,,10.1111/tra.12538
analysis of a quality evaluation model for vr contents,"lee, sang hwa; nam, sanghun; kim, jungyoon",2018,international journal of grid and distributed computing,,10.14257/ijgdc.2018.11.2.09
consumer-oriented head mounted displays: analysis and evaluation of stereoscopic characteristics and user preferences,"gadia, davide; granato, marco; maggiorini, dario; ripamonti, laura anna; vismara, cinzia",2018,mobile networks & applications,,10.1007/s11036-017-0834-9
highly immersive virtual reality laparoscopy simulation: development and future aspects,"huber, tobias; wunderling, tom; paschold, markus; lang, hauke; kneist, werner; hansen, christian",2018,international journal of computer assisted radiology and surgery,,10.1007/s11548-017-1686-2
effects of different types of virtual reality display on presence and learning in a safety training scenario,"buttussi, fabio; chittaro, luca",2018,ieee transactions on visualization and computer graphics,,10.1109/TVCG.2017.2653117
integrated 3d display and imaging using dual purpose passive screen and head-mounted projectors and camera,"soomro, shoaib r.; urey, hakan",2018,optics express,,10.1364/OE.26.001161
application of virtual reality in teleoperation of the military mobile robotic system taros,"kot, tomas; novak, petr",2018,international journal of advanced robotic systems,,10.1177/1729881417751545
panoramic video display quality assessment based on htc vive,wang ze-wei; yu you-guang; yang fu-zheng,2018,chinese journal of liquid crystals and displays,,10.3788/YJYXS20183301.0085
"comparison of oculus rift and htc vive: feasibility for virtual reality-based exploration, navigation, exergaming, and rehabilitation","borrego, adrian; latorre, jorge; alcaniz, mariano; llorens, roberto",2018,games for health journal,,10.1089/g4h.2017.0114
design of adaptive control and virtual reality-based fine hand motion rehabilitation system and its effects in subacute stroke patients,"huang, xianwei; naghdy, fazel; du, haiping; naghdy, golshah; murray, geoffrey",2018,computer methods in biomechanics and biomedical engineering-imaging and visualization,,10.1080/21681163.2017.1343687
ways of seeing matter: the impact of a naturally mapped perceptual system on the persuasive effects of immersive virtual reality advertising,"wu, dai-yun; lin, jih-hsuan tammy",2018,communication research reports,,10.1080/08824096.2018.1525349
a virtual reality head stability test for patients with vestibular dysfunction,"lubetzky, anat, v; hujsak, bryan d.",2018,journal of vestibular research-equilibrium & orientation,,10.3233/VES-190650
an educational physics laboratory in mobile versus room scale virtual reality - a comparative study,"pirker, johanna; lesjak, isabel; parger, mathias; guetl, christian",2017,online engineering & internet of things,,10.3991/ijoe.v13i08.7371
balance disturbances coefficient as a new value to assess ability to maintain balance on the basis of fft curves,"jurkojc, jacek",2018,acta of bioengineering and biomechanics,,10.5277/ABB-01082-2018-02
virtual reality learning environments development of multi-user reference support experiences,"hahn, jim f.",2018,information and learning science,,10.1108/ILS-07-2018-0069
body movement reduces pain intensity in virtual reality-based analgesia,"czub, marcin; piskorz, joanna",2018,international journal of human-computer interaction,,10.1080/10447318.2017.1412144
"immersive vr in the construction classroom to increase student understanding of sequence, assembly, and space of wood frame construction","lucas, jason",2018,journal of information technology in construction,,0
neurocave: a web-based immersive visualization platform for exploring connectome datasets,"keiriz, johnson j. g.; zhan, liang; ajilore, olusola; leow, alex d.; forbes, angus g.",2018,network neuroscience,,10.1162/netn_a_00044
target selection in head-mounted display virtual reality environments,"yu, difeng; liang, hai-ning; lu, feiyu; nanjappan, vijayakumar; papangelis, konstantinos; wang, wei",2018,journal of universal computer science,,0
a framework for assessing spatial presence of omnidirectional video on virtual reality device,"zou, wenjie; yang, fuzheng; zhang, wei; li, yi; yu, haoping",2018,ieee access,,10.1109/ACCESS.2018.2864872
spatialized vibrotactile feedback improves goal-directed movements in cluttered virtual environments,"louison, cephise; ferlay, fabien; mestre, daniel r.",2018,international journal of human-computer interaction,,10.1080/10447318.2017.1411665
a sketch-based 3d modeling method for 3d crime scene presentation,"ren, pu; shui, wuyang; liu, jin; fan, yachun; zhao, wenshuo; zhou, mingquan",2018,journal of digital forensics security and law,,0
assessment of a history educational video game. the student's opinion,"martinez soto, juan manuel; egea vivancos, alejandro; arias ferrer, laura",2018,revista latinoamericana de tecnologia educativa-relatec,,10.17398/1695-288X.17.1.61
effect of social facilitation without presence of others on swallowing function and eating behavior,"hoyano, kengo; ogoshi, yasuhiro",2018,sensors and materials,,10.18494/SAM.2018.1912
stuttgart city walk: a case study on visualizing textured dsm meshes for the general public using virtual reality,"schmohl, s; tutzauer, p; haala, n",2020,pfg-journal of photogrammetry remote sensing and geoinformation science,,10.1007/s41064-020-00106-z
vr4health: personalized teaching and learning anatomy using vr,"fairen, m; moyes, j; insa, e",2020,journal of medical systems,,10.1007/s10916-020-01550-5
revisiting affordance perception in contemporary virtual reality,"bhargava, a; lucaites, km; hartman, ls; solini, h; bertrand, jw; robb, ac; pagano, cc; babu, sv",2020,virtual reality,,10.1007/s10055-020-00432-y
upper extremity rehabilitation using fully immersive virtual reality games with a head mount display: a feasibility study,"lee, sh; jung, hy; yun, sj; oh, bm; seo, hg",2020,pm&r,,10.1002/pmrj.12206
road crossing decisions in real and virtual environments: a comparative study on simulator validity,"feldstein, it; dyszak, gn",2020,accident analysis and prevention,,10.1016/j.aap.2019.105356
realistic facial expression reconstruction for vr hmd users,"lou, jw; wang, ym; nduka, c; hamedi, m; mavridou, i; wang, fy; yu, h",2020,ieee transactions on multimedia,,10.1109/TMM.2019.2933338
optimizing fixation prediction using recurrent neural networks for 360 degrees video streaming in head-mounted virtual reality,"fan, cl; yen, sc; huang, cy; hsu, ch",2020,ieee transactions on multimedia,,10.1109/TMM.2019.2931807
visual dependence affects the motor behavior of older adults during the timed up and go (tug) test,"almajid, r; tucker, c; wright, wg; vasudevan, e; keshner, e",2020,archives of gerontology and geriatrics,,10.1016/j.archger.2019.104004
extending fitts' law in three-dimensional virtual environments with current low-cost virtual reality technology,"clark, logan d.; bhagat, aakash b.; riggs, sara l.",2020,international journal of human-computer studies,,10.1016/j.ijhcs.2020.102413
comparing selection mechanisms for gaze input techniques in head-mounted displays,"esteves, augusto; shin, yonghwan; oakley, ian",2020,international journal of human-computer studies,,10.1016/j.ijhcs.2020.102414
don't make me sick: investigating the incidence of cybersickness in commercial virtual reality headsets,"yildirim, caglar",2020,virtual reality,,10.1007/s10055-019-00401-0
restoration in a virtual reality forest environment,"mattila, osmo; korhonen, arto; poyry, essi; hauru, kaisa; holopainen, jani; parvinen, petri",2020,computers in human behavior,,10.1016/j.chb.2020.106295
size and shape constancy in consumer virtual reality,"hornsey, rebecca l.; hibbard, paul b.; scarfe, peter",2020,behavior research methods,,10.3758/s13428-019-01336-9
extended reality technologies for support of surgical workflows,"rueger, christoph; moosburnerl, simon; sauer, igor m.",2020,chirurg,,10.1007/s00104-020-01188-6
an immersive virtual reality educational intervention on people with autism spectrum disorders (asd) for the development of communication skills and problem solving,"fernandez herrero, jorge; lorenzo, gonzalo",2020,education and information technologies,,10.1007/s10639-019-10050-0
augmented and virtual reality in surgery,"desselle, mathilde r.; brown, ross a.; james, allan r.; midwinter, mark j.; powell, sean; woodruff, maria a.",2020,computing in science & engineering,,10.1109/MCSE.2020.2972822
viewport-adaptive 360-degree video coding,"hu, qiang; zhou, jun; zhang, xiaoyun; shi, zhiru; gao, zhiyong",2020,multimedia tools and applications,,10.1007/s11042-019-08390-7
evaluating the use of interactive virtual reality technology with older adults living in residential aged care,"baker, steven; waycott, jenny; robertson, elena; carrasco, romina; neves, barbara barbosa; hampson, ralph; vetere, frank",2020,information processing & management,,10.1016/j.ipm.2019.102105
interactive dense point clouds in a game engine,"virtanen, juho-pekka; daniel, sylvie; turppa, tuomas; zhu, lingli; julin, arttu; hyyppa, hannu; hyyppa, juha",2020,isprs journal of photogrammetry and remote sensing,,10.1016/j.isprsjprs.2020.03.007
dgaze: cnn-based gaze prediction in dynamic scenes,"hu, zhiming; li, sheng; zhang, congyi; yi, kangrui; wang, guoping; manocha, dinesh",2020,ieee transactions on visualization and computer graphics,,10.1109/TVCG.2020.2973473
mind the gap: the underrepresentation of female participants and authors in virtual reality research,"peck, tabitha c.; sockol, laura e.; hancock, sarah m.",2020,ieee transactions on visualization and computer graphics,,10.1109/TVCG.2020.2973498
eye-dominance-guided foveated rendering,"meng, xiaoxu; du, ruofei; varshney, amitabh",2020,ieee transactions on visualization and computer graphics,,10.1109/TVCG.2020.2973442
using facial animation to increase the enfacement illusion and avatar self-identification,"gonzalez-franco, mar; steed, anthony; hoogendyk, steve; ofek, eyal",2020,ieee transactions on visualization and computer graphics,,10.1109/TVCG.2020.2973075
earvr: using ear haptics in virtual reality for deaf and hard-of-hearing people,"mirzaei, mohammadreza; kan, peter; kaufmann, hannes",2020,ieee transactions on visualization and computer graphics,,10.1109/TVCG.2020.2973441
toward standardized classification of foveated displays,"spjut, josef; boudaoud, ben; kim, jonghyun; greer, trey; albert, rachel; stengel, michael; aksit, kaan; luebke, david",2020,ieee transactions on visualization and computer graphics,,10.1109/TVCG.2020.2973053
"real world-based immersive virtual reality for research, teaching and communication in volcanology","tibaldi, a.; bonali, f. l.; vitello, f.; delage, e.; nomikou, p.; antoniou, v; becciani, u.; de vries, b. van wyk; krokos, m.; whitworth, m.",2020,bulletin of volcanology,,10.1007/s00445-020-01376-6
immersive virtual field trips and elementary students' perceptions,"han, insook",2020,british journal of educational technology,,10.1111/bjet.12946
discomfort luminance level of head-mounted displays depending on the adapting luminance,"ha, hyeyoung; kwak, youngshin; kim, hyosun; seo, young-jun",2020,color research and application,,10.1002/col.22509
visuomotor transformation for the lead leg affects trail leg trajectories during visually guided crossing over a virtual obstacle in humans,"hagio, shota; kouzaki, motoki",2020,frontiers in neuroscience,,10.3389/fnins.2020.00357
"motivations, design, and preliminary testing for a 360 degrees vision simulator","cook, matt; grime, john",2020,virtual reality,,10.1007/s10055-020-00433-x
the impact of a virtual reality app on adolescent efl learners' vocabulary learning,"tai, tzu-yu; chen, howard hao-jan; todd, graeme",2020,computer assisted language learning,,10.1080/09588221.2020.1752735
transfer of motor skill between virtual reality viewed using a head-mounted display and conventional screen environments,"juliano, julia m.; liew, sook-lei",2020,journal of neuroengineering and rehabilitation,,10.1186/s12984-020-00678-2
"virtual experience, real consequences: the potential negative emotional consequences of virtual reality gameplay","lavoie, raymond; main, kelley; king, corey; king, danielle",2020,virtual reality,,10.1007/s10055-020-00440-y
virtual reality robot-assisted welding based on human intention recognition,"wang, qiyue; jiao, wenhua; yu, rui; johnson, michael t.; zhang, yuming",2020,ieee transactions on automation science and engineering,,10.1109/TASE.2019.2945607
empathy for the game master: how virtual reality creates empathy for those seen to be creating vr,"roquet, paul",2020,journal of visual culture,,10.1177/1470412920906260
simulation of scattered radiation during intraoperative imaging in a virtual reality learning environment,"suencksen, matthias; bott, oliver johannes; dresing, klaus; teistler, michael",2020,international journal of computer assisted radiology and surgery,,10.1007/s11548-020-02126-x
"the effects of target location on musculoskeletal load, task performance, and subjective discomfort during virtual reality interactions","penumudi, sai akhil; kuppam, veera aneesh; kim, jeong ho; hwang, jaejin",2020,applied ergonomics,,10.1016/j.apergo.2019.103010
virtual operating room simulation setup (vorss) for procedural training in minimally invasive surgery - a pilot study,"ganni, sandeep; li, meng; botden, sanne m. b. i.; nayak, samir ranjan; ganni, bhaskar rao; rutkowski, anne-francoise; goossens, richard h. m.; jakimowicz, jack",2020,indian journal of surgery,,10.1007/s12262-020-02131-z
"encoding, exchange and manipulation of captured immersive vr sessions for learning environments: the prismin framework","fanini, bruno; cinque, luigi",2020,applied sciences-basel,,10.3390/app10062026
design of a 3d platform for immersive neurocognitive rehabilitation,"avola, danilo; cinque, luigi; pannone, daniele",2020,information,,10.3390/info11030134
"usability of the size, spacing, and operation method of virtual buttons with virtual hand on head-mounted displays","park, kyudong; kim, dohyeon; han, sung h.",2020,international journal of industrial ergonomics,,10.1016/j.ergon.2020.102939
gazeguide: an eye-gaze-guided active immersive uav camera,"kumar, pavan b. n.; balasubramanyam, adithya; patil, ashok kumar; chethana, b.; chai, young ho",2020,applied sciences-basel,,10.3390/app10051668
how much of what we learn in virtual reality transfers to real-world navigation?,"hejtmanek, lukas; starrett, michael; ferrer, emilio; ekstrom, arne d.",2020,multisensory research,,10.1163/22134808-20201445
head-synced drone control for reducing virtual reality sickness,"watanabe, kandai; takahashi, masaki",2020,journal of intelligent & robotic systems,,10.1007/s10846-019-01054-6
impact of vr on impulsive desire for a destination,"kang, hyunjeong",2020,journal of hospitality and tourism management,,10.1016/j.jhtm.2020.02.003
effectiveness of the hololens mixed-reality headset in minimally invasive surgery: a simulation-based feasibility study,"al janabi, hasaneen fathy; aydin, abdullatif; palaneer, sharanya; macchione, nicola; al-jabir, ahmed; khan, muhammad shamim; dasgupta, prokar; ahmed, kamran",2020,surgical endoscopy and other interventional techniques,,10.1007/s00464-019-06862-3
effect analysis of virtual-reality vestibular rehabilitation based on eye-tracking,"lee, sungjin; hong, min; kim, sungyeup; choi, seong jun",2020,ksii transactions on internet and information systems,,10.3837/tiis.2020.02.020
preserving the knowledge of the past through virtual visits: from 3d laser scanning to virtual reality visualisation at the istanbul catalca incegiz caves,"buyuksalih, gurcan; kan, tuna; ozkan, gozde enc; meric, muge; isin, lale; kersten, thomas p.",2020,pfg-journal of photogrammetry remote sensing and geoinformation science,,10.1007/s41064-020-00091-3
level of immersion affects spatial learning in virtual environments: results of a three-condition within-subjects study with long intersession intervals,"pollard, kimberly a.; oiknine, ashley h.; files, benjamin t.; sinatra, anne m.; patton, debbie; ericson, mark; thomas, jerald; khooshabeh, peter",2020,virtual reality,,10.1007/s10055-019-00411-y
sketch-based shape-constrained fireworks simulation in head-mounted virtual reality,"cui, xiaoyu; cai, ruifan; tang, xiangjun; deng, zhigang; jin, xiaogang",2020,computer animation and virtual worlds,,10.1002/cav.1920
audio in vr: effects of a soundscape and movement-triggered step sounds on presence,"kern, angelika c.; ellermeier, wolfgang",2020,frontiers in robotics and ai,,10.3389/frobt.2020.00020
studying the effect of display type and viewing perspective on user experience in virtual reality exergames,"xu, wenge; liang, hai-ning; zhang, zeying; baghaei, nilufar",2020,games for health journal,,10.1089/g4h.2019.0102
design methodology for 360 degrees immersive video applications: the case study of a cultural heritage virtual tour,"argyriou, lemonia; economou, daphne; bouki, vassiliki",2020,personal and ubiquitous computing,,10.1007/s00779-020-01373-8
effects of audio-visual interactions on soundscape and landscape perception and their influence on satisfaction with the urban environment,"jeon, jin yong; jo, hyun in",2020,building and environment,,10.1016/j.buildenv.2019.106544
exocentric distance judgment and accuracy of head-mounted and stereoscopic widescreen displays in frontal planes,"lin, chiuhsiang joe; abreham, betsha tizazu; caesaron, dino; woldegiorgis, bereket haile",2020,applied sciences-basel,,10.3390/app10041427
embodiment is related to better performance on a brain-computer interface in immersive virtual reality: a pilot study,"juliano, julia m.; spicer, ryan p.; vourvopoulos, athanasios; lefebvre, stephanie; jann, kay; ard, tyler; santarnecchi, emiliano; krum, david m.; liew, sook-lei",2020,sensors,,10.3390/s20041204
feasibility study of therapeutic exposure in virtual reality for pathological gamblers,"remond, j-j; hernandez-mora, m.; marseille, c.; mesure, g.; romo, l.",2020,encephale-revue de psychiatrie clinique biologique et therapeutique,,10.1016/j.encep.2019.09.002
crossmodal perception in virtual reality,"malpica, s.; serrano, a.; allue, m.; bedia, m. g.; masia, b.",2020,multimedia tools and applications,,10.1007/s11042-019-7331-z
the self-generated full body illusion is accompanied by impaired detection of somatosensory stimuli,"swinkels, lieke m. j.; van schie, hein t.; veling, harm; ter horst, arjan c.; dijksterhuis, ap",2020,acta psychologica,,10.1016/j.actpsy.2019.102987
evaluating cyclists' perception of satisfaction using 360 degrees videos,"liu, qiang; homma, riken; iki, kazuhisa",2020,transportation research part a-policy and practice,,10.1016/j.tra.2019.11.008
expansion of peripheral visual field with novel virtual reality digital spectacles,"sayed, ahmed m.; abdel-mottaleb, mostafa; kashem, rashed; roongpoovapatr, vatookarn; elsawy, amr; abdel-mottaleb, mohamed; parrish, richard k., ii; abou shousha, mohamed",2020,american journal of ophthalmology,,10.1016/j.ajo.2019.10.006
virtual reality is sexist: but it does not have to be,"stanney, kay; fidopiastis, cali; foster, linda",2020,frontiers in robotics and ai,,10.3389/frobt.2020.00004
gaze behavior in social fear conditioning: an eye-tracking study in virtual reality,"reichenberger, jonas; pfaller, michael; muehlberger, andreas",2020,frontiers in psychology,,10.3389/fpsyg.2020.00035
effect of surface roughness of optical waveguide on imaging quality and a formula of rse tolerance and incident angle,"kuang, ying; liu, juan; shi, xueliang",2020,optics express,,10.1364/OE.382804
comparison of user experiences based on watching 360 degrees immersive video and reality-a case study of a scooter ride,"huang, fei-hui",2020,promet-traffic & transportation,,0
identifying the optimal 3d display technology for hands-on virtual experiential learning: a comparison study,"zhou, chao; li, hong; bian, yulong",2020,ieee access,,10.1109/ACCESS.2020.2988678
real-time recognition of facial expressions using facial electromyograms recorded around the eyes for social virtual reality applications,"cha, ho-seung; choi, seong-jun; im, chang-hwan",2020,ieee access,,10.1109/ACCESS.2020.2983608
assessment of gait stability and preferred walking speed in virtual reality,"wodarski, piotr; jurkojc, jacek; polechonski, jacek; bieniek, andrzej; chrzan, milosz; michnik, robert; gzik, marek",2020,acta of bioengineering and biomechanics,,10.37190/ABB-01490-2019-03
"depth perception in virtual reality systems: effect of screen distance, environment richness and display factors","vienne, cyril; masfrand, stephane; bourdin, christophe; vercher, jean-louis",2020,ieee access,,10.1109/ACCESS.2020.2972122
a comparative study between wired and wireless virtual reality setups,"goncalves, guilherme; monteiro, pedro; melo, miguel; vasconcelos-raposo, jose; bessa, maximino",2020,ieee access,,10.1109/ACCESS.2020.2970921
eye-contact game using mixed reality for the treatment of children with attention deficit hyperactivity disorder,"kim, seongki; ryu, jinho; choi, youngchyul; kang, yooseok; li, hongle; kim, kibum",2020,ieee access,,10.1109/ACCESS.2020.2977688
pseudo-sensation of walking generated by passive whole-body motions in heave and yaw directions,"amemiya, tomohiro; kitazaki, michiteru; ikei, yasushi",2020,ieee transactions on haptics,,10.1109/TOH.2020.2965937
asymmetric interface: user interface of asymmetric virtual reality for new presence and experience,"jeong, kisung; kim, jinmo; kim, mingyu; lee, jiwon; kim, chanhun",2020,symmetry-basel,,10.3390/sym12010053
virtual reality a survey of use at an academic library,"frost, megan; goates, michael; cheng, sarah; johnston, jed",2020,information technology and libraries,,10.6017/ital.v39i1.11369
virtual reality non-medical treatment for patients after surgery an exploratory pilot study,"skavern, hege; sandsdalen, tuva; skaug, marit aralt",2020,nordisk sygeplejeforskning-nordic nursing research,,10.18261/issn.1892-2686-2020-01-02
a study of cybersickness and sensory conflict theory using a motion-coupled virtual reality system,"ng, adrian k. t.; chan, leith k. y.; lau, henry y. k.",2020,displays,,10.1016/j.displa.2019.08.004
a compelling virtual tour of the dunhuang cave with an immersive head-mounted display,"han, ping-hsuan; chen, yang-sheng; liu, iou-shiuan; jang, yu-ping; tsai, ling; chang, alvin; hung, yi-ping",2020,ieee computer graphics and applications,,10.1109/MCG.2019.2936753
the impact of immersion on cluster identification tasks,"kraus, m.; weiler, n.; oelke, d.; kehrer, j.; keim, d. a.; fuchs, j.",2020,ieee transactions on visualization and computer graphics,,10.1109/TVCG.2019.2934395
the effects of spatial separations between water sound and traffic noise sources on soundscape assessment,"hong, joo young; lam, bhan; ong, zhen-ting; ooi, kenneth; gan, woon-seng; kang, jian; yeong, samuel; lee, irene; tan, sze-tiong",2020,building and environment,,10.1016/j.buildenv.2019.106423
a meta-analysis of virtual reality training programs for social skill development,"howard, matt c.; gutworth, melissa b.",2020,computers & education,,10.1016/j.compedu.2019.103707
perception and performance on a virtual reality cognitive stimulation for use in the intensive care unit: a non-randomized trial in critically ill patients,"gerber, stephan m.; jeitziner, marie-madlen; knobel, samuel e. j.; mosimann, urs p.; mueri, rene m.; jakob, stephan m.; nef, tobias",2019,frontiers in medicine,,10.3389/fmed.2019.00287
tile-based adaptive streaming for virtual reality video,"van der hooft, jeroen; vega, maria torres; petrangeli, stefano; wauters, tim; de turck, filip",2019,acm transactions on multimedia computing communications and applications,,10.1145/3362101
how do ehmis affect pedestrians' crossing behavior? a study using a head-mounted display combined with a motion suit,"kooijman, lars; happee, riender; de winter, joost c. f.",2019,information,,10.3390/info10120386
a survey of real locomotion techniques for immersive virtual reality applications on head-mounted displays,"cardoso, jorge c. s.; perrotta, andre",2019,computers & graphics-uk,,10.1016/j.cag.2019.09.005
region of interest-based segmented tiled adaptive streaming using head-mounted display tracking sensing data,"kim, hyun-wook; yang, sung-hyun",2019,international journal of distributed sensor networks,,10.1177/1550147719894533
"changes in trauma-potentiated startle, skin conductance, and heart rate within prolonged exposure therapy for ptsd in high and low treatment responders","maples-keller, jessica l.; rauch, sheila a. m.; jovanovic, tanja; yasinski, carly w.; goodnight, jessica morgan; sherrill, andrew; black, kathryn; michopoulos, vasiliki; dunlop, boadie w.; rothbaum, barbara olasov; norrholm, seth davin",2019,journal of anxiety disorders,,10.1016/j.janxdis.2019.102147
external human-machine interfaces on automated vehicles: effects on pedestrian crossing decisions,"de clercq, koen; dietrich, andre; velasco, juan pablo nunez; de winter, joost; happee, riender",2019,human factors,,10.1177/0018720819836343
haptic virtual reality and immersive learning for enhanced organic chemistry instruction,"edwards, bosede iyiade; bielawski, kevin s.; prada, rui; cheok, adrian david",2019,virtual reality,,10.1007/s10055-018-0345-4
a design model for using virtual reality in behavioral skills training,"cakiroglu, unal; gokoglu, seyfullah",2019,journal of educational computing research,,10.1177/0735633119854030
effects of virtual reality technology locomotive multi-sensory motion stimuli on a user simulator sickness and controller intuitiveness during a navigation task,"aldaba, cassandra n.; moussavi, zahra",2020,medical & biological engineering & computing,,10.1007/s11517-019-02070-2
skin-integrated wireless haptic interfaces for virtual and augmented reality,"yu, xinge; xie, zhaoqian; yu, yang; lee, jungyup; vazquez-guardado, abraham; luan, haiwen; ruben, jasper; ning, xin; akhtar, aadeel; li, dengfeng; ji, bowen; liu, yiming; sun, rujie; cao, jingyue; huo, qingze; zhong, yishan; lee, chanmi; kim, seungyeop; gutruf, philipp; zhang, changxing; xue, yeguang; guo, qinglei; chempakasseril, aditya; tian, peilin; lu, wei; jeong, jiyoon; yu, yongjoon; cornman, jesse; tan, cheesim; kirn, bonghoon; lee, kunhyuk; feng, xue; huang, yonggang; rogers, john a.",2019,nature,,10.1038/s41586-019-1687-0
assessment of eye fatigue caused by head-mounted displays using eye-tracking,"wang, yan; zhai, guangtao; chen, sichao; min, xiongkuo; gao, zhongpai; song, xuefei",2019,biomedical engineering online,,10.1186/s12938-019-0731-5
a modality-independent network underlies the retrieval of large-scale spatial environments in the human brain,"huffman, derek j.; ekstrom, arne d.",2019,neuron,,10.1016/j.neuron.2019.08.012
the impact of radial distortions in vr headsets on perceived surface slant,"tong, jonathan; allison, robert s.; wilcox, laurie m.",2019,journal of imaging science and technology,,10.2352/J.ImagingSci.Technol.2019.63.6.060409
the camera offset space: real-time potentially visible set computations for streaming rendering,"hladky, jozef; seidel, hans-peter; steinberger, markus",2019,acm transactions on graphics,,10.1145/3355089.3356530
reducing simulator sickness with perceptual camera control,"hu, ping; sun, qi; didyk, piotr; wei, li-yi; kaufman, arie e.",2019,acm transactions on graphics,,10.1145/3355089.3356490
deepfovea: neural reconstruction for foveated rendering and video compression using learned statistics of natural videos,"kaplanyan, anton s.; sochenov, anton; leimkuhler, thomas; okunev, mikhail; goodall, todd; rufo, gizem",2019,acm transactions on graphics,,10.1145/3355089.3356557
holographic near-eye displays based on overlap-add stereograms,"padmanaban, nitish; peng, yifan; wetzstein, gordon",2019,acm transactions on graphics,,10.1145/3355089.3356517
dice: dichoptic contrast enhancement for vr and stereo displays,"zhong, fangcheng; koulieris, george alex; drettakis, george; banks, martin s.; chambe, mathieu; durand, fredo; mantiuk, rafal k.",2019,acm transactions on graphics,,10.1145/3355089.3356552
the effect of mirroring display of virtual reality tour of the operating theatre on preoperative anxiety: a randomized controlled trial,"park, jin-woo; nahm, francis sahngun; kim, jin-hee; jeon, young-tae; ryu, jung-hee; han, sung-hee",2019,ieee journal of biomedical and health informatics,,10.1109/JBHI.2019.2892485
the effects of augmented reality interaction techniques on egocentric distance estimation accuracy,"lin, chiuhsiang joe; caesaron, dino; woldegiorgis, bereket haile",2019,applied sciences-basel,,10.3390/app9214652
reconviguration: reconfiguring physical keyboards in virtual reality,"schneider, daniel; otte, alexander; gesslein, travis; gagel, philipp; kuth, bastian; damlakhi, mohamad shahm; dietz, oliver; ofek, eyal; pahud, michel; kristensson, per ola; mueller, joerg; grubert, jens",2019,ieee transactions on visualization and computer graphics,,10.1109/TVCG.2019.2932239
face/on: multi-modal haptic feedback for head-mounted displays in virtual reality,"wolf, dennis; rietzler, michael; hnatek, leo; rukzio, enrico",2019,ieee transactions on visualization and computer graphics,,10.1109/TVCG.2019.2932215
conveying spatial awareness cues in xr collaborations,"irlitti, andrew; piumsomboon, thammathip; jackson, daniel; thomas, bruce h.",2019,ieee transactions on visualization and computer graphics,,10.1109/TVCG.2019.2932173
"how foot tracking matters: the impact of an animated self-avatar on interaction, embodiment and presence in shared virtual environments","pan, ye; steed, anthony",2019,frontiers in robotics and ai,,10.3389/frobt.2019.00104
practical chromatic aberration correction in virtual reality displays enabled by cost-effective ultra-broadband liquid crystal polymer lenses,"zhan, tao; zou, junyu; xiong, jianghao; liu, xiaomin; chen, hao; yang, jilin; liu, sheng; dong, yajie; wu, shin-tson",2020,advanced optical materials,,10.1002/adom.201901360
navwell: a simplified virtual-reality platform for spatial navigation and memory experiments,"commins, sean; duffin, joseph; chaves, keylor; leahy, diarmuid; corcoran, kevin; caffrey, michelle; keenan, lisa; finan, deirdre; thornberry, conor",2020,behavior research methods,,10.3758/s13428-019-01310-5
"virtual reality and oceanography: overview, applications, and perspective","walcutt, noah l.; knorlein, benjamin; sgouros, tom; cetinic, ivona; omand, melissa m.",2019,frontiers in marine science,,10.3389/fmars.2019.00644
embodiment and presence in virtual reality after stroke. a comparative study with healthy subjects,"borrego, adrian; latorre, jorge; alcaniz, mariano; llorens, roberto",2019,frontiers in neurology,,10.3389/fneur.2019.01061
selecting menu items in mobile head-mounted displays: effects of selection technique and active area,"chittaro, luca; sioni, riccardo",2019,international journal of human-computer interaction,,10.1080/10447318.2018.1541546
goal-directed aiming under restricted viewing conditions with confirmatory sensory feedback,"bell, joshua d.; macuga, kristen l.",2019,human movement science,,10.1016/j.humov.2019.102515
interactive virtual reality reduces quadriceps pain during high-intensity cycling,"wender, carly l. a.; ahn, sun joo; o'connor, patrick j.",2019,medicine and science in sports and exercise,,10.1249/MSS.0000000000002016
using virtual reality to study subjective time in crowded versus uncrowded environments,"shimokawa, kazuma; sugimori, eriko",2019,perceptual and motor skills,,10.1177/0031512519857869
towards opm-meg in a virtual reality environment,"roberts, gillian; holmes, niall; alexander, nicholas; boto, elena; leggett, james; hill, ryan m.; shah, vishal; read, molly; vaughan, richard; maguire, eleanor a.; kessler, klaus; beebe, shaun; fromhold, mark; barnes, gareth r.; bowtell, richard; brookes, matthew j.",2019,neuroimage,,10.1016/j.neuroimage.2019.06.010
"a survey on 360 degrees video streaming: acquisition, transmission, and display","fan, ching-ling; lo, wen-chih; pai, yu-tung; hsu, cheng-hsin",2019,acm computing surveys,,10.1145/3329119
efficient live and on-demand tiled hevc 360 vr video streaming,"jeppsson, mattis; espeland, havard n.; kupka, tomas; langseth, ragnar; petlund, andreas; peng, qiaoqiao; xue, chuansong; johansen, dag; pogorelov, konstantin; stensland, iiakon; griwodz, carsten; riegler, michael; halvorsen, pal",2019,international journal of semantic computing,,10.1142/S1793351X19400166
