Title,Rank,Impact_Factor,5_Yr_IF,Half_Life,Percentage_Citable,Avg_IF_Percentile
plant genome,2038,3.847,4.169,4.7,98.11,79.362
communication monographs,2039,3.843,3.695,12.7,100.0,90.761
journal of natural gas science and engineering,2040,3.841,4.09,3.6,94.14,68.168
journal of orthopaedic & sports physical therapy,2041,3.839,4.053,9.9,87.21,90.795
freshwater biology,2042,3.835,3.759,11.4,96.57,88.205
journal of transport geography,2043,3.834,4.969,6.7,97.59,86.86
urban climate,2043,3.834,,3.7,96.67,73.149
animal health research reviews,2045,3.833,3.011,10.0,0.0,96.831
ieee geoscience and remote sensing letters,2045,3.833,3.7,4.9,100.0,76.984
breast cancer research and treatment,2047,3.831,3.906,7.2,84.44,62.09
ceramics international,2048,3.83,3.513,3.5,98.97,94.643
chembioeng reviews,2048,3.83,,3.7,7.69,74.476
geotechnique,2048,3.83,4.331,19.1,98.89,85.897
current infectious disease reports,2051,3.828,2.811,5.8,0.0,74.731
current oncology reports,2051,3.828,3.429,4.2,0.0,61.68
journal of positive psychology,2051,3.828,4.641,7.0,97.37,86.594
ieee journal of selected topics in applied earth observations and remote sensing,2054,3.827,3.909,4.2,99.77,75.057
insect biochemistry and molecular biology,2054,3.827,4.095,10.2,98.31,79.348
chinese journal of chemistry,2056,3.826,2.379,4.1,93.59,68.644
molecular carcinogenesis,2057,3.825,3.65,4.7,100.0,62.538
plant cell reports,2057,3.825,3.686,8.5,87.6,87.393
electronic commerce research and applications,2059,3.824,4.3,6.6,94.2,75.371
electronic commerce research and applications,2059,3.824,4.3,6.6,94.2,75.371
occupational and environmental medicine,2059,3.824,4.348,10.9,91.34,84.197
qualitative inquiry,2062,3.823,2.468,9.9,98.44,97.685
international journal of health policy and management,2063,3.821,,3.4,90.57,89.647
international journal of health policy and management,2063,3.821,,3.4,90.57,89.647
journal of geophysical research-atmospheres,2063,3.821,4.349,11.1,99.49,72.581
journal of international management,2063,3.821,3.977,9.4,100.0,73.673
apl materials,2067,3.819,4.383,4.1,100.0,67.89
geomorphology,2067,3.819,3.948,8.5,97.52,84.625
journal of king saud university science,2067,3.819,,3.0,93.14,75.352
computers and geotechnics,2070,3.818,4.146,5.7,99.37,81.896
harm reduction journal,2070,3.818,3.335,4.8,92.11,81.944
human resource management journal,2072,3.816,4.085,5.3,93.1,85.782
journal of hospitality & tourism research,2072,3.816,4.719,9.1,98.36,77.679
viruses-basel,2072,3.816,4.001,3.3,75.9,68.919
endocrinology and metabolism clinics of north america,2075,3.813,3.746,8.8,98.28,68.881
european heart journal-acute cardiovascular care,2075,3.813,,3.0,83.75,66.304
journal of steroid biochemistry and molecular biology,2075,3.813,3.889,8.1,87.04,66.175
npj systems biology and applications,2075,3.813,4.343,2.4,100.0,88.983
methods,2079,3.812,4.061,18.1,98.9,70.851
surgery for obesity and related diseases,2079,3.812,3.987,4.5,88.21,85.952
british journal of political science,2081,3.811,4.722,10.8,100.0,95.278
plant disease,2082,3.809,3.95,11.1,100.0,86.966
journal of electroanalytical chemistry,2083,3.807,3.519,11.0,98.74,70.963
critical care clinics,2084,3.804,3.074,7.8,100.0,76.389
organometallics,2084,3.804,3.279,9.2,99.22,83.801
quaternary science reviews,2086,3.803,4.878,8.3,94.25,83.125
international endodontic journal,2087,3.801,3.418,8.9,85.03,93.956
aesthetic surgery journal,2088,3.799,3.406,4.8,92.74,85.476
faraday discussions,2089,3.797,3.702,7.1,100.0,63.208
policy studies journal,2089,3.797,4.224,8.3,92.0,91.632
biology-basel,2091,3.796,,4.0,57.95,80.108
metallomics,2091,3.796,4.176,5.1,88.96,62.795
minerals engineering,2093,3.795,4.013,7.5,96.94,79.592
journal of neurotrauma,2094,3.793,4.417,7.6,91.96,71.165
expert review of clinical immunology,2095,3.792,3.433,4.6,24.11,61.076
complex & intelligent systems,2096,3.791,,2.3,96.88,73.162
molecular biology of the cell,2096,3.791,3.979,11.2,99.62,54.615
marine and petroleum geology,2098,3.79,4.463,5.7,97.93,84.75
geocarto international,2099,3.789,2.957,3.9,97.73,71.675
journal of cell communication and signaling,2100,3.788,3.692,4.0,81.82,54.103
preventive medicine,2100,3.788,4.348,7.6,87.74,82.9
jama facial plastic surgery,2102,3.787,3.304,3.4,91.3,85.0
european journal of mechanics a-solids,2103,3.786,3.59,6.2,100.0,87.132
surface & coatings technology,2104,3.784,3.754,8.1,99.84,83.171
international journal of nursing studies,2105,3.783,4.98,6.8,61.9,99.59
international journal of nursing studies,2105,3.783,4.98,6.8,61.9,99.59
journal of science-advanced materials and devices,2105,3.783,,2.6,89.71,61.742
canadian journal of anesthesia-journal canadien d anesthesie,2108,3.779,3.278,9.9,77.78,73.438
journal of natural products,2108,3.779,3.989,10.8,98.04,77.617
limnology and oceanography,2110,3.778,4.278,16.7,98.51,90.909
current opinion in clinical nutrition and metabolic care,2111,3.775,4.625,8.1,0.0,68.854
foreign affairs,2111,3.775,3.191,9.0,98.63,97.368
land degradation & development,2111,3.775,4.162,3.8,99.48,78.707
socio-economic review,2114,3.774,5.176,7.0,100.0,93.734
journal of accounting research,2115,3.773,6.472,16.2,100.0,93.981
international soil and water conservation research,2116,3.77,,3.6,92.31,80.723
expert review of anti-infective therapy,2117,3.767,3.78,6.3,28.21,72.268
ieee antennas and propagation magazine,2118,3.765,2.879,8.0,100.0,75.205
aids patient care and stds,2119,3.764,3.862,7.3,92.0,82.026
aids patient care and stds,2119,3.764,3.862,7.3,92.0,82.026
chaos solitons & fractals,2119,3.764,3.046,8.4,97.0,90.025
journal of energy storage,2122,3.762,,2.0,95.13,60.268
cancer research and treatment,2123,3.761,3.214,3.3,98.74,60.861
journal of diabetes investigation,2123,3.761,3.646,3.7,93.06,66.783
anatomical sciences education,2125,3.759,3.904,5.3,90.0,93.902
genes,2125,3.759,3.822,2.1,81.05,70.339
schizophrenia research,2125,3.759,4.163,7.8,91.1,77.538
schizophrenia research,2125,3.759,4.163,7.8,91.1,77.538
communication research,2129,3.758,4.498,11.9,100.0,89.674
mediators of inflammation,2129,3.758,4.028,5.0,84.29,57.016
journal of leukocyte biology,2131,3.757,4.014,10.3,58.6,61.533
international small business journal-researching entrepreneurship,2132,3.756,5.377,7.4,96.97,71.098
reviews in fisheries science & aquaculture,2133,3.755,4.604,3.3,31.82,93.396
breast,2134,3.754,3.491,5.2,90.65,74.433
skeletal muscle,2134,3.754,4.382,4.8,96.77,52.564
international journal of machine learning and cybernetics,2136,3.753,3.14,2.5,98.02,72.426
computerized medical imaging and graphics,2137,3.75,2.937,7.7,98.21,80.157
geochemical perspectives,2137,3.75,6.0,6.4,100.0,84.118
pest management science,2137,3.75,3.861,7.0,92.95,91.013
journal of the royal society interface,2140,3.748,4.251,6.4,93.91,73.944
advances in anatomic pathology,2141,3.746,3.138,7.5,5.56,81.41
ieee access,2142,3.745,4.076,1.8,98.84,75.602
immunology and cell biology,2142,3.745,3.824,7.6,73.33,55.614
journal of psychiatric research,2142,3.745,4.36,8.5,94.94,76.861
journal of psychiatric research,2142,3.745,4.36,8.5,94.94,76.861
american naturalist,2146,3.744,4.072,20.1,100.0,76.53
current topics in membranes,2146,3.744,3.89,5.5,0.0,70.313
journal of supercritical fluids,2146,3.744,3.536,6.4,100.0,67.828
pathology,2146,3.744,3.314,6.5,79.27,80.128
expert review of neurotherapeutics,2150,3.743,3.484,6.9,0.0,74.262
chemical engineering & technology,2151,3.742,2.458,6.8,96.21,72.378
european journal of soil science,2151,3.742,4.045,11.2,99.0,80.263
journal of periodontology,2151,3.742,3.614,12.5,99.22,92.857
obesity,2151,3.742,4.458,7.4,91.67,67.593
european cells & materials,2155,3.741,4.31,7.7,100.0,70.018
international journal of energy research,2155,3.741,3.539,5.4,90.59,78.952
joint bone spine,2155,3.741,3.567,7.0,63.53,64.063
british journal of clinical pharmacology,2158,3.74,4.062,8.5,76.34,73.889
palliative medicine,2159,3.739,4.695,6.6,64.55,83.487
aaps journal,2160,3.737,4.11,6.5,95.54,73.519
pedosphere,2161,3.736,3.564,7.1,89.86,77.632
international journal of geographical information science,2162,3.733,3.71,8.8,97.3,81.779
international journal of geographical information science,2162,3.733,3.71,8.8,97.3,81.779
journal of urban technology,2162,3.733,4.774,6.1,85.0,86.905
chemical engineering and processing-process intensification,2165,3.731,3.588,7.3,97.27,65.08
journal of asthma and allergy,2166,3.73,,3.3,70.27,62.856
autism research,2167,3.727,4.105,4.1,93.23,88.231
autism research,2167,3.727,4.105,4.1,93.23,88.231
developmental review,2167,3.727,6.838,11.2,17.65,88.961
european journal of agronomy,2170,3.726,4.373,8.7,98.86,87.363
food and bioproducts processing,2170,3.726,3.739,5.9,99.38,74.838
ieee antennas and wireless propagation letters,2170,3.726,3.768,4.5,99.82,73.718
american journal of physiology-gastrointestinal and liver physiology,2173,3.725,3.67,10.2,88.36,72.633
surfaces and interfaces,2174,3.724,3.538,2.2,97.97,73.293
chemico-biological interactions,2175,3.723,3.629,6.7,90.11,72.807
clinical oral implants research,2175,3.723,4.044,8.5,96.33,84.098
journal of accounting & economics,2175,3.723,6.7,14.5,97.44,91.743
journal of biogeography,2175,3.723,4.105,10.0,99.45,78.232
current opinion in hiv and aids,2179,3.722,4.391,4.9,0.0,64.708
developmental science,2179,3.722,4.397,8.6,100.0,87.722
journal of food composition and analysis,2181,3.721,3.829,8.6,97.44,78.473
journal of the electrochemical society,2181,3.721,3.719,10.4,97.35,67.989
plant physiology and biochemistry,2183,3.72,3.966,6.3,95.92,86.111
language teaching,2184,3.714,3.707,8.6,76.0,97.068
optics letters,2184,3.714,3.443,7.9,100.0,81.959
journal of geophysical research-planets,2186,3.713,3.858,11.4,98.88,82.941
journal of rheology,2187,3.711,3.712,14.4,95.0,86.397
journal of arthroplasty,2188,3.709,3.68,5.5,93.16,85.976
environmental evidence,2189,3.708,,3.6,64.71,71.132
natural resources research,2189,3.708,,3.7,94.9,83.75
frontiers in neuroscience,2191,3.707,4.229,3.6,79.99,64.76
harmful algae,2191,3.707,4.468,7.0,97.39,94.811
assessment,2193,3.706,4.321,8.4,98.29,89.695
journal of petroleum science and engineering,2193,3.706,3.77,4.2,96.21,77.479
nuclear fusion,2193,3.706,3.38,6.7,99.58,92.647
health psychology review,2196,3.705,9.125,4.7,34.78,88.931
international affairs,2196,3.705,3.268,7.9,95.24,96.316
cancer cytopathology,2198,3.703,3.339,5.3,90.91,69.444
toxicological sciences,2198,3.703,4.135,9.1,97.0,82.065
psychosomatic medicine,2200,3.702,4.406,12.9,85.39,81.475
psychosomatic medicine,2200,3.702,4.406,12.9,85.39,81.475
acta oncologica,2202,3.701,3.516,6.2,92.5,59.631
best practice & research clinical endocrinology & metabolism,2202,3.701,4.12,8.0,100.0,65.385
journal of functional foods,2202,3.701,4.178,3.9,92.2,73.018
human-centric computing and information sciences,2205,3.7,,2.8,92.86,76.603
it professional,2205,3.7,2.788,4.4,100.0,77.849
journal of pediatrics,2205,3.7,4.163,10.0,95.61,92.578
nutrition metabolism and cardiovascular diseases,2205,3.7,3.758,6.2,85.26,65.706
studies in science education,2205,3.7,5.815,10.7,100.0,93.545
studies in science education,2205,3.7,5.815,10.7,100.0,93.545
cell cycle,2211,3.699,3.645,8.1,86.96,51.538
evolution,2212,3.698,3.983,15.9,100.0,73.214
journal of human resources,2212,3.698,6.899,13.1,100.0,92.581
biomedical journal,2214,3.697,,3.7,80.85,61.146
journal of counseling psychology,2214,3.697,4.656,13.5,96.83,90.0
journal of digital imaging,2214,3.697,2.742,5.8,97.39,80.827
molecular plant-microbe interactions,2217,3.696,4.282,11.0,94.48,73.51
dermatology,2218,3.695,2.558,12.3,82.26,86.029
cell adhesion & migration,2219,3.694,4.782,6.1,93.55,51.026
earth surface processes and landforms,2219,3.694,4.103,10.1,100.0,79.125
frontiers in chemistry,2221,3.693,4.204,1.8,81.62,68.079
hearing research,2221,3.693,3.686,10.9,86.78,86.323
psychophysiology,2223,3.692,3.793,12.6,97.42,81.775
psychophysiology,2223,3.692,3.793,12.6,97.42,81.775
journal of epidemiology,2225,3.691,3.529,6.7,98.51,82.642
journal of ethnopharmacology,2226,3.69,3.908,8.6,90.31,79.694
human resource development quarterly,2227,3.688,4.378,10.0,82.35,83.44
molecular catalysis,2228,3.687,3.69,2.0,98.04,61.321
current diabetes reports,2229,3.686,4.213,4.8,0.0,63.986
hormones and behavior,2230,3.684,3.987,9.2,90.91,74.432
journal of sex research,2231,3.683,4.213,7.7,87.84,92.464
pigment cell & melanoma research,2231,3.683,4.797,8.6,88.24,64.764
american journal of chinese medicine,2233,3.682,3.22,7.0,88.54,84.205
geothermics,2233,3.682,3.803,5.9,97.67,69.723
land use policy,2233,3.682,4.151,4.4,99.65,77.642
environment and planning d-society & space,2236,3.681,3.841,9.6,100.0,82.165
ieee transactions on power delivery,2236,3.681,4.228,9.1,99.03,76.504
journal of dermatological science,2236,3.681,4.034,6.9,81.69,83.088
journal for research in mathematics education,2239,3.676,3.988,18.0,100.0,95.247
fems microbiology ecology,2240,3.675,4.562,9.1,93.36,67.778
international journal of biochemistry & cell biology,2241,3.673,3.622,9.2,92.59,55.556
archives of civil and mechanical engineering,2242,3.672,3.561,4.0,98.32,80.069
ieee transactions on aerospace and electronic systems,2242,3.672,3.378,9.8,100.0,78.799
optics express,2244,3.669,3.461,6.3,99.94,80.928
atmospheric measurement techniques,2245,3.668,3.707,4.6,99.73,71.505
international journal of eating disorders,2245,3.668,4.202,10.2,90.84,77.843
international journal of eating disorders,2245,3.668,4.202,10.2,90.84,77.843
biogerontology,2248,3.667,3.876,6.6,80.36,75.49
cell division,2248,3.667,4.692,8.6,84.62,49.487
journal of personality,2248,3.667,4.44,15.0,98.77,89.844
world journal of gastroenterology,2251,3.665,4.048,5.7,61.61,60.795
computers & structures,2252,3.664,3.9,12.8,100.0,81.687
journal der deutschen dermatologischen gesellschaft,2252,3.664,3.359,5.7,72.31,81.618
molecular pharmacology,2252,3.664,3.904,13.3,86.67,72.407
blood transfusion,2255,3.662,2.468,5.1,71.7,70.395
frontiers in marine science,2256,3.661,3.828,2.4,74.11,93.868
annals of clinical and translational neurology,2257,3.66,4.43,3.4,95.36,68.714
geohealth,2257,3.66,3.66,2.0,88.89,76.44
sustainable production and consumption,2257,3.66,,2.4,92.71,62.381
sustainable production and consumption,2257,3.66,,2.4,92.71,62.381
cancer biology & therapy,2261,3.659,3.715,8.1,89.03,58.811
clinical toxicology,2261,3.659,3.671,6.0,85.19,80.978
ieee transactions on instrumentation and measurement,2263,3.658,3.419,7.2,98.83,81.235
annals of physical and rehabilitation medicine,2264,3.657,,4.0,59.62,94.853
european journal of human genetics,2264,3.657,3.784,6.7,94.82,64.992
international geology review,2264,3.657,3.501,8.5,94.78,92.553
journal of cancer research and clinical oncology,2267,3.656,3.295,5.9,85.51,58.402
journal of clinical child and adolescent psychology,2267,3.656,4.634,8.6,100.0,85.853
open forum infectious diseases,2267,3.656,,2.7,92.08,64.915
accident analysis and prevention,2270,3.655,4.101,7.9,97.82,90.154
infectious disease clinics of north america,2270,3.655,5.407,7.2,100.0,63.0
tree physiology,2270,3.655,4.33,11.1,95.03,94.853
journal of competitiveness,2273,3.649,,3.0,100.0,76.848
retina-the journal of retinal and vitreous diseases,2273,3.649,3.769,5.9,94.64,87.5
tourism management perspectives,2275,3.648,,3.9,93.46,73.677
food & nutrition research,2276,3.647,3.379,3.9,96.0,70.972
life sciences,2276,3.647,3.413,11.7,86.72,65.91
sociology of education,2276,3.647,4.256,16.4,94.44,95.267
addictive behaviors,2279,3.645,3.546,7.3,95.08,79.182
addictive behaviors,2279,3.645,3.546,7.3,95.08,79.182
journal of hydrology-regional studies,2279,3.645,,3.3,96.83,86.702
big data,2282,3.644,2.625,4.2,95.0,80.672
frontiers in bioengineering and biotechnology,2282,3.644,,3.5,73.03,72.535
frontiers in endocrinology,2282,3.644,3.986,2.8,59.95,62.587
meat science,2282,3.644,4.095,9.6,97.52,76.619
ad hoc networks,2286,3.643,3.386,5.2,98.54,71.271
international journal of impact engineering,2287,3.642,4.122,9.3,100.0,84.177
neurosurgical focus,2287,3.642,3.867,7.5,88.17,78.904
cirp annals-manufacturing technology,2289,3.641,4.248,9.6,99.38,74.521
molecular immunology,2289,3.641,3.353,8.4,93.97,58.225
annals of thoracic surgery,2291,3.639,3.863,9.9,94.11,72.811
international journal of greenhouse gas control,2291,3.639,3.698,5.6,98.54,57.15
nutrition,2291,3.639,4.118,8.0,85.89,63.483
nanotechnology reviews,2291,3.639,3.181,3.5,71.19,66.585
journal of geophysical research-solid earth,2295,3.638,4.191,14.2,99.86,81.765
structural equation modeling-a multidisciplinary journal,2295,3.638,5.993,17.6,100.0,91.616
structural equation modeling-a multidisciplinary journal,2295,3.638,5.993,17.6,100.0,91.616
analytical and bioanalytical chemistry,2298,3.637,3.444,7.1,95.38,78.462
immune network,2298,3.637,,4.2,70.45,55.38
ima fungus,2300,3.636,3.561,4.9,100.0,81.034
molecular human reproduction,2300,3.636,3.728,10.3,96.88,81.686
perspectives on sexual and reproductive health,2300,3.636,4.019,8.7,87.5,96.478
magnetic resonance in medicine,2303,3.635,3.75,10.7,99.39,80.075
eating and weight disorders-studies on anorexia bulimia and obesity,2304,3.634,2.845,4.1,89.68,71.29
virtual reality,2304,3.634,2.941,6.4,91.67,75.081
work and stress,2304,3.634,5.224,11.3,90.48,85.119
applied mathematical modelling,2307,3.633,3.37,5.7,99.8,85.315
computer methods and programs in biomedicine,2308,3.632,3.836,5.6,96.36,78.375
human relations,2308,3.632,4.659,14.3,100.0,82.963
information systems frontiers,2310,3.63,4.016,4.4,97.37,79.701
maturitas,2310,3.63,3.744,6.7,67.95,79.753
pancreatology,2312,3.629,3.266,4.8,88.08,59.659
journal of general physiology,2313,3.628,3.609,16.5,91.11,80.864
computer physics communications,2314,3.627,4.623,9.2,100.0,83.736
histopathology,2315,3.626,3.243,8.8,85.71,63.269
journal of information technology,2316,3.625,6.804,8.3,100.0,75.216
journal of information technology,2316,3.625,6.804,8.3,100.0,75.216
journal of process control,2318,3.624,3.686,7.5,97.67,71.251
journal of sleep research,2319,3.623,3.958,9.1,94.16,68.039
journal of flow chemistry,2320,3.622,2.13,3.5,95.65,66.949
european journal of pharmaceutical sciences,2321,3.616,3.712,5.9,96.44,71.667
social science & medicine,2321,3.616,4.241,10.6,93.77,89.522
social science & medicine,2321,3.616,4.241,10.6,93.77,89.522
rheumatology and therapy,2324,3.615,,2.6,78.26,60.938
expert review of proteomics,2325,3.614,3.444,5.0,1.49,75.974
european urology supplements,2326,3.613,3.363,5.7,100.0,84.118
smart materials and structures,2326,3.613,3.988,6.5,98.86,76.416
catalysis communications,2328,3.612,3.458,7.0,100.0,60.692
british journal of ophthalmology,2329,3.611,3.402,12.0,92.23,85.833
human gene therapy clinical development,2329,3.611,2.553,3.7,86.67,64.946
molecular and cellular biology,2329,3.611,3.96,15.2,98.2,54.281
energy for sustainable development,2332,3.61,3.724,5.8,92.86,52.455
gps solutions,2332,3.61,4.397,4.8,97.69,58.333
plant methods,2332,3.61,4.266,5.2,96.15,79.752
policy sciences,2335,3.609,3.797,15.6,96.3,90.22
appetite,2336,3.608,4.258,6.7,94.78,73.007
ieee robotics and automation letters,2336,3.608,,2.0,100.0,80.357
future medicinal chemistry,2338,3.607,4.065,4.9,57.54,68.033
journal of science and medicine in sport,2338,3.607,4.332,5.9,90.25,86.471
cellular and molecular neurobiology,2340,3.606,3.644,6.1,78.41,55.432
international journal of advertising,2340,3.606,4.127,8.1,100.0,78.34
journal of biochemical and molecular toxicology,2340,3.606,2.855,4.6,98.1,69.828
production planning & control,2343,3.605,3.93,5.7,97.75,73.821
autonomous robots,2344,3.602,3.637,7.2,100.0,74.238
journal of teacher education,2345,3.6,4.953,10.8,100.0,94.487
applied physics letters,2346,3.597,3.4,10.0,100.0,76.299
clinical chemistry and laboratory medicine,2347,3.595,3.19,6.4,88.48,84.483
energy reports,2347,3.595,,2.7,89.04,54.018
antimicrobial resistance and infection control,2349,3.594,3.993,2.8,92.96,71.888
bmc genomics,2349,3.594,4.093,5.8,99.8,70.7
microchemical journal,2349,3.594,3.273,3.9,98.0,78.488
annual review of economics,2352,3.591,6.102,6.4,97.14,89.623
ieee robotics & automation magazine,2352,3.591,4.615,8.0,100.0,71.925
plant science,2352,3.591,4.253,10.1,88.05,71.915
international journal of electrical power & energy systems,2355,3.588,4.173,4.9,96.68,75.376
journal of engineering technology,2355,3.588,2.7,4.8,100.0,80.769
journal of the learning sciences,2355,3.588,4.379,13.9,100.0,92.47
journal of clinical sleep medicine,2358,3.586,3.952,6.0,95.56,72.304
information systems research,2359,3.585,5.634,12.5,98.63,75.009
statistical science,2360,3.583,3.428,18.5,97.22,95.565
journal of field robotics,2361,3.581,4.197,6.9,96.97,69.643
mindfulness,2361,3.581,4.559,4.0,91.51,81.742
nanoscale research letters,2361,3.581,3.559,5.5,96.91,65.306
3d printing and additive manufacturing,2364,3.579,4.324,3.6,94.87,68.019
computers & security,2364,3.579,3.756,4.8,98.05,73.397
insights into imaging,2364,3.579,,4.7,32.26,79.323
space weather-the international journal of research and applications,2364,3.579,3.243,4.4,97.92,72.643
clinical genetics,2368,3.578,3.45,7.1,75.89,68.079
current allergy and asthma reports,2369,3.577,3.592,5.1,0.0,55.052
international journal of qualitative methods,2370,3.576,3.26,10.7,98.15,93.056
mycoses,2371,3.575,3.118,6.2,81.51,78.867
physical review b,2371,3.575,3.511,11.8,100.0,70.187
international journal of hyperthermia,2373,3.574,3.594,6.1,92.74,68.282
expert review of anticancer therapy,2374,3.573,2.615,6.1,18.07,57.582
industrial & engineering chemistry research,2374,3.573,3.684,7.5,96.83,69.58
journal of interpersonal violence,2374,3.573,3.115,8.1,98.58,90.47
social cognitive and affective neuroscience,2377,3.571,4.174,5.6,100.0,77.698
social cognitive and affective neuroscience,2377,3.571,4.174,5.6,100.0,77.698
digestive and liver disease,2379,3.57,3.392,5.8,84.28,58.523
physica e-low-dimensional systems & nanostructures,2379,3.57,2.67,4.8,98.75,59.667
toxicology letters,2381,3.569,3.62,8.3,95.24,78.804
journal of cancer,2382,3.565,3.558,2.7,87.16,57.172
pharmacoeconomics,2383,3.563,4.571,7.2,60.95,84.208
pharmacoeconomics,2383,3.563,4.571,7.2,60.95,84.208
perspectives in ecology and conservation,2383,3.563,3.563,2.2,71.43,87.288
journal of molecular endocrinology,2386,3.562,3.672,7.7,62.32,61.888
materials characterization,2386,3.562,3.674,5.1,98.03,82.689
journal of pharmacology and experimental therapeutics,2388,3.561,3.57,14.3,89.72,70.926
journal of viral hepatitis,2388,3.561,3.305,5.6,92.18,63.602
european eating disorders review,2390,3.56,3.454,6.4,84.48,84.351
journal of geophysical research-oceans,2391,3.559,3.736,11.9,99.03,91.667
geological society of america bulletin,2392,3.558,4.368,21.2,100.0,82.25
journal of geophysical research-earth surface,2392,3.558,4.082,7.7,100.0,82.25
translational oncology,2392,3.558,3.467,3.8,93.64,56.762
langmuir,2395,3.557,3.702,9.5,99.78,64.177
smart structures and systems,2395,3.557,2.964,3.8,99.12,84.152
hiv medicine,2397,3.556,2.927,5.7,94.19,66.129
cultural anthropology,2398,3.554,3.648,10.6,100.0,98.333
journal of materials science,2399,3.553,3.282,10.4,97.2,65.764
frontiers of chemical science and engineering,2400,3.552,3.03,3.4,77.78,68.881
biomass & bioenergy,2401,3.551,4.038,7.9,93.99,68.67
journal of oncology practice,2401,3.551,,4.2,80.68,56.352
nanotechnology,2401,3.551,3.392,7.4,95.52,63.589
clinical lung cancer,2404,3.55,3.565,3.7,93.75,55.943
united european gastroenterology journal,2405,3.549,3.556,2.8,85.38,56.25
yale journal of biology and medicine,2405,3.549,,8.4,44.59,79.032
engineering structures,2407,3.548,3.775,6.0,98.24,86.194
minerva urologica e nefrologica,2407,3.548,2.24,2.5,67.53,82.941
world journal of psychiatry,2409,3.545,,4.0,62.5,70.645
journal of rural studies,2410,3.544,4.086,6.1,100.0,84.821
seminars in nuclear medicine,2410,3.544,3.463,9.0,0.0,77.82
eneuro,2410,3.544,,2.6,98.89,62.177
reading research quarterly,2413,3.543,3.69,15.0,100.0,91.446
tectonics,2413,3.543,4.472,12.2,98.89,79.412
gerontology,2415,3.54,4.562,8.0,69.23,71.569
human communication research,2415,3.54,4.039,15.6,100.0,87.5
seminars in fetal & neonatal medicine,2415,3.54,3.956,6.4,100.0,91.797
new journal of physics,2418,3.539,3.579,6.6,100.0,80.588
heart failure reviews,2419,3.538,4.175,5.4,22.62,64.13
modern language journal,2419,3.538,4.081,11.7,100.0,95.47
coral reefs,2421,3.536,3.553,10.0,98.11,92.925
climate of the past,2421,3.536,3.967,5.9,100.0,75.302
jmir mental health,2423,3.535,,2.7,88.24,70.0
probiotics and antimicrobial proteins,2424,3.533,3.204,2.4,98.59,68.515
bone & joint research,2425,3.532,3.42,3.3,93.55,67.378
clinical and experimental immunology,2425,3.532,3.472,11.5,68.79,54.114
journal of exposure science and environmental epidemiology,2427,3.531,3.49,8.2,98.7,76.222
toxins,2427,3.531,3.832,3.6,82.13,76.808
applied microbiology and biotechnology,2429,3.53,3.913,7.8,73.18,70.833
international journal for parasitology,2429,3.53,3.5,12.4,96.91,85.897
international journal of entrepreneurial behavior & research,2431,3.529,,7.3,91.86,68.562
medical clinics of north america,2431,3.529,2.992,8.4,97.44,80.303
international journal of sports physiology and performance,2433,3.528,3.496,4.5,95.07,82.462
atmospheric pollution research,2434,3.527,3.436,3.8,97.14,70.0
finance research letters,2434,3.527,2.849,2.4,100.0,92.13
jmir serious games,2436,3.526,,3.3,92.5,75.926
journal of biomedical informatics,2436,3.526,3.765,7.9,88.89,73.513
investigational new drugs,2438,3.525,3.384,6.2,96.35,63.044
journal of biomedical materials research part a,2438,3.525,3.469,8.5,92.77,66.674
orphanet journal of rare diseases,2440,3.523,4.029,5.9,84.44,62.924
common market law review,2441,3.522,3.756,6.6,90.24,95.846
catalysts,2442,3.52,3.708,2.3,86.23,59.434
therapeutic advances in gastroenterology,2442,3.52,3.734,3.9,63.44,55.114
aiche journal,2444,3.519,3.625,15.2,100.0,68.182
clinics in perinatology,2444,3.519,3.555,7.5,96.36,87.886
international immunology,2444,3.519,4.537,12.3,65.71,53.481
journal of neuroengineering and rehabilitation,2444,3.519,4.436,5.7,89.68,76.06
journal of saudi chemical society,2448,3.517,3.584,4.1,96.75,65.819
mechanics of advanced materials and structures,2448,3.517,2.748,3.3,98.98,76.505
expert review of gastroenterology & hepatology,2450,3.514,3.092,4.0,23.15,53.977
interface focus,2450,3.514,3.92,4.8,71.83,77.957
obesity facts,2450,3.514,3.7,5.5,96.36,61.212
physics of fluids,2450,3.514,3.385,12.0,99.07,86.581
icarus,2454,3.513,3.345,9.9,100.0,65.441
internet interventions-the application of information technology in mental and behavioural health,2454,3.513,,3.7,98.72,76.321
internet interventions-the application of information technology in mental and behavioural health,2454,3.513,,3.7,98.72,76.321
journal of analytical toxicology,2454,3.513,2.94,8.6,97.96,76.435
ecological engineering,2458,3.512,3.844,5.8,98.05,69.739
journal of service theory and practice,2458,3.512,3.024,2.8,96.67,68.012
biochimica et biophysica acta-gene regulatory mechanisms,2460,3.51,4.96,6.7,70.37,67.926
journal of proteomics,2461,3.509,3.637,5.3,98.96,73.377
neurology-genetics,2461,3.509,,2.8,93.85,69.381
applied geography,2463,3.508,4.241,5.9,96.64,85.119
elements,2464,3.507,4.827,8.2,100.0,78.284
world allergy organization journal,2465,3.506,,6.0,92.65,52.317
journal of neural transmission,2466,3.505,3.05,8.8,74.31,66.381
current opinion in endocrinology diabetes and obesity,2467,3.504,3.681,6.1,0.0,60.49
international journal of robust and nonlinear control,2468,3.503,3.691,4.5,100.0,80.644
journal of biotechnology,2468,3.503,3.185,8.6,98.18,70.192
